Категория;Количество;Цена
"Детские товары";0;0
Телефония;0;0
"С переводом";0;0
Большая;0;0
"Большая/Мебель и интерьер";0;0
"Большая/Строительные инструменты";0;0
"Пять уровней вложенности";0;0
"Пять уровней вложенности/Второй уровень вложенности";0;0
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности";0;0
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности";0;0
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";0;0
"Женская одежда";0;0
"Женская одежда/Нижнее бельё";65;1
Итого;1;65
